contract,ground truth,your output,your runtime,your point
0.sol,Tainted,Tainted,1.467,0
1.sol,Tainted,Tainted,1.026,0
2.sol,Safe,Safe,1.075,1
3.sol,Safe,Safe,1.194,1
4.sol,Tainted,Tainted,1.39,0
5.sol,Safe,Safe,1.194,1
6.sol,Tainted,Tainted,0.789,0
7.sol,Tainted,Tainted,1.344,0
9_1.sol,Safe,Safe,1.134,1
9_2.sol,Safe,Safe,0.973,1
10.sol,Tainted,Tainted,1.25,0
11.sol,Safe,Safe,1.283,1
12.sol,Safe,Safe,1.171,1
14.sol,Safe,Safe,1.108,1
15.sol,Safe,Safe,1.203,1
16.sol,Tainted,Tainted,1.357,0
17.sol,Safe,Safe,1.631,1
18.sol,Tainted,Tainted,1.682,0
19.sol,Tainted,Tainted,1.761,0
20.sol,Safe,Safe,1.266,1
21.sol,Safe,Safe,1.621,1
22.sol,Safe,Safe,1.802,1
23.sol,Safe,Safe,1.43,1
24.sol,Safe,Safe,1.617,1
25.sol,Tainted,Tainted,1.821,0
26.sol,Tainted,Tainted,1.977,0
27.sol,Safe,Safe,1.555,1
28.sol,Safe,Safe,1.658,1
29.sol,Tainted,Tainted,2.921,0
30.sol,Safe,Safe,1.713,1
31.sol,Tainted,Tainted,2.599,0
32.sol,Safe,Safe,3.0,1
33.sol,Tainted,Tainted,2.234,0
34.sol,Tainted,Tainted,2.338,0
35.sol,Safe,Safe,1.815,1
36.sol,Tainted,Tainted,2.763,0
37.sol,Safe,Safe,2.433,1
38.sol,Safe,Safe,3.511,1
39.sol,Tainted,Tainted,3.796,0
40.sol,Tainted,Tainted,3.792,0
41.sol,Safe,Safe,3.73,1
42.sol,Tainted,Tainted,7.049,0
43.sol,Tainted,Tainted,5.649,0
44.sol,Safe,Safe,5.677,1
45.sol,Safe,Safe,5.822,1
46.sol,Safe,Safe,4.215,1
47.sol,Safe,Safe,3.401,1
48.sol,Tainted,Tainted,3.237,0
49.sol,Safe,Safe,2.054,1
50.sol,Tainted,Tainted,3.083,0
51.sol,Tainted,Tainted,2.925,0
52.sol,Tainted,Tainted,3.977,0
53.sol,Tainted,Tainted,3.071,0
54.sol,Safe,Safe,3.351,1
55.sol,Tainted,Tainted,3.053,0
56.sol,Safe,Safe,2.572,1
57.sol,Tainted,Tainted,3.223,0
58.sol,Safe,Safe,2.366,1
59.sol,Safe,Safe,2.061,1
60.sol,Tainted,Tainted,2.029,0
61.sol,Safe,Safe,1.737,1
62.sol,Tainted,Tainted,2.045,0
63.sol,Safe,Safe,1.795,1
64.sol,Safe,Safe,1.43,1
65.sol,Safe,Safe,1.465,1
66.sol,Tainted,Tainted,1.434,0
67.sol,Safe,Safe,1.572,1
68.sol,Tainted,Tainted,1.463,0
69.sol,Safe,Safe,1.365,1
70.sol,Safe,Safe,1.552,1
71.sol,Safe,Safe,1.542,1
72.sol,Tainted,Tainted,1.661,0
73.sol,Safe,Safe,3.016,1
74.sol,Tainted,Tainted,3.322,0
75.sol,Tainted,Tainted,3.47,0
76.sol,Safe,Safe,3.869,1
77.sol,Tainted,Tainted,3.932,0
78.sol,Safe,Safe,3.733,1
79.sol,Tainted,Tainted,3.883,0
80.sol,Safe,Safe,3.998,1
81.sol,Safe,Safe,1.901,1
82.sol,Safe,Safe,1.754,1
83.sol,Tainted,Tainted,2.957,0
84.sol,Tainted,Tainted,3.0,0
85.sol,Safe,Safe,2.85,1
86.sol,Safe,Safe,2.718,1
87.sol,Safe,Safe,5.097,1
88.sol,Tainted,Tainted,5.448,0
89.sol,Safe,Safe,2.122,1
90.sol,Tainted,Tainted,2.131,0
91.sol,Safe,Safe,5.108,1
92.sol,Tainted,Tainted,8.294,0
93.sol,Safe,Safe,1.976,1
94.sol,Tainted,Tainted,2.14,0
95.sol,Safe,Safe,2.588,1
96.sol,Safe,Safe,11.029,1
97.sol,Safe,timeout (Tainted),60,0
98.sol,Safe,Safe,1.495,1
99.sol,Safe,Safe,1.901,1
100.sol,Tainted,Tainted,1.896,0
101.sol,Safe,Tainted,1.896,0
102.sol,Safe,Safe,2.452,1
103.sol,Tainted,Tainted,1.666,0

total points: 57

grade: 6.0
